timestamp,open,high,low,close,volume
12/31/2019,1842,1853.26,1832.23,1847.84,2510380
12/30/2019,1874,1884,1840.62,1846.89,3677306
12/27/2019,1882.92,1901.4,1866.01,1869.8,6188754
12/26/2019,1801.01,1870.46,1799.5,1868.77,6024608
12/24/2019,1793.81,1795.57,1787.58,1789.21,881337
12/23/2019,1788.26,1793,1784.51,1793,2137493
12/20/2019,1799.62,1802.97,1782.45,1786.5,5152460
12/19/2019,1780.5,1792.99,1774.06,1792.28,2738320
12/18/2019,1795.02,1798.2,1782.36,1784.03,3354137
12/17/2019,1778.01,1792,1777.39,1790.66,3646697
12/16/2019,1767,1769.5,1757.05,1769.21,3149345
12/13/2019,1765,1768.99,1755,1760.94,2747909
12/12/2019,1750,1764,1745.44,1760.33,3103949
12/11/2019,1741.67,1750,1735.71,1748.72,2101318
12/10/2019,1747.4,1750.67,1735,1739.21,2515644
12/9/2019,1750.66,1766.89,1745.61,1749.51,2502489
12/6/2019,1751.2,1754.4,1740.13,1751.6,3119979
12/5/2019,1763.5,1763.5,1740,1740.48,2827852
12/4/2019,1774.01,1789.09,1760.22,1760.69,2680700
12/3/2019,1760,1772.87,1747.23,1769.96,3529582
12/2/2019,1804.4,1805.55,1762.68,1781.6,3931750
11/29/2019,1817.78,1824.69,1800.79,1800.8,1923440
11/27/2019,1801,1824.5,1797.31,1818.51,3035846
11/26/2019,1779.92,1797.03,1778.35,1796.94,3190428
11/25/2019,1753.25,1777.42,1753.24,1773.84,3489467
11/22/2019,1739.02,1746.43,1731,1745.72,2479081
11/21/2019,1743,1746.87,1730.36,1734.71,2662938
11/20/2019,1749.14,1762.52,1734.12,1745.53,2793759
11/19/2019,1756.99,1760.68,1743.03,1752.79,2274535
11/18/2019,1738.3,1753.7,1722.71,1752.53,2841907
11/15/2019,1760.05,1761.68,1732.86,1739.49,3931141
11/14/2019,1751.43,1766.59,1749.56,1754.6,2269417
11/13/2019,1773.39,1775,1747.32,1753.11,2926892
11/12/2019,1774.66,1786.22,1771.91,1778,2038925
11/11/2019,1778,1780,1767.13,1771.65,1947810
11/8/2019,1787.89,1789.88,1774.04,1785.88,2126198
11/7/2019,1803.76,1805.9,1783.48,1788.2,2651086
11/6/2019,1801,1802.5,1788.58,1795.77,2029783
11/5/2019,1809.16,1810.25,1794,1801.71,1885543
11/4/2019,1801.01,1815.06,1801.01,1804.66,2771922
11/1/2019,1788.01,1797.44,1785.21,1791.44,2790354
10/31/2019,1775.99,1792,1771.48,1776.66,2781185
10/30/2019,1759.12,1782.38,1759.12,1779.99,2449405
10/29/2019,1774.81,1777,1755.81,1762.71,2276855
10/28/2019,1748.06,1778.7,1742.5,1777.08,3634788
10/25/2019,1697.55,1764.21,1695,1761.33,9626402
10/24/2019,1771.09,1788.34,1760.27,1780.78,5204350
10/23/2019,1761.3,1770.05,1742,1762.17,2190380
10/22/2019,1788.15,1789.78,1762,1765.73,2234425
10/21/2019,1769.66,1785.88,1765,1785.66,2130431
10/18/2019,1787.8,1793.98,1749.2,1757.51,3189382
10/17/2019,1796.49,1798.85,1782.02,1787.48,2713773
10/16/2019,1773.33,1786.24,1770.52,1777.43,2804068
10/15/2019,1742.14,1776.45,1740.62,1767.38,3129244
10/14/2019,1728.91,1741.89,1722,1736.43,1928898
10/11/2019,1742.92,1745.45,1729.86,1731.92,3279534
10/10/2019,1725.24,1738.29,1713.75,1720.26,2721531
10/9/2019,1719.61,1729.95,1714.36,1721.99,2089335
10/8/2019,1722.49,1727,1705,1705.51,2626840
10/7/2019,1731.63,1747.83,1723.7,1732.66,2187598
10/4/2019,1726.02,1740.58,1719.23,1739.65,2489277
10/3/2019,1713,1725,1685.06,1724.42,3624371
10/2/2019,1727.74,1728.89,1705,1713.23,3338476
10/1/2019,1746,1755.6,1728.41,1735.65,3170460
9/30/2019,1726.99,1737.46,1709.22,1735.91,2760768
9/27/2019,1748,1749.12,1713.82,1725.45,3948029
9/26/2019,1762.79,1763.37,1731.5,1739.84,3571952
9/25/2019,1747.36,1773,1723,1768.33,3531098
9/24/2019,1790.61,1795.7,1735.55,1741.61,4637901
9/23/2019,1777,1792.7,1767.32,1785.3,3139142
9/20/2019,1821.71,1830.63,1780.92,1794.16,5555839
9/19/2019,1821.02,1832.57,1817.9,1821.5,2078335
9/18/2019,1817.04,1822.06,1795.5,1817.46,2536012
9/17/2019,1807.08,1823.99,1804.1,1822.55,2033058
9/16/2019,1824.02,1825.69,1800.2,1807.84,3675473
9/13/2019,1842.01,1846.12,1835.17,1839.34,1971317
9/12/2019,1837.63,1853.66,1834.28,1843.55,2823505
9/11/2019,1812.14,1833.42,1809.08,1822.99,2432767
9/10/2019,1822.75,1825.81,1805.34,1820.55,2613879
9/9/2019,1841,1850,1824.61,1831.35,2999515
9/6/2019,1838.22,1840.65,1826.4,1833.51,2496933
9/5/2019,1821.95,1842,1815.58,1840.72,3325189
9/4/2019,1805,1807.63,1796.23,1800.62,2326228
9/3/2019,1770,1800.8,1768,1789.84,3546859
8/30/2019,1797.49,1799.74,1764.57,1776.29,3064147
8/29/2019,1783,1798.55,1777.25,1786.4,3018012
8/28/2019,1755,1767.86,1744.05,1764.25,2411125
8/27/2019,1775.73,1779.4,1746.68,1761.83,3027245
8/26/2019,1766.91,1770,1743.51,1768.87,3085320
8/23/2019,1793.03,1804.9,1745.23,1749.62,5277898
8/22/2019,1828,1829.41,1800.1,1805.6,2658388
8/21/2019,1819.39,1829.58,1815,1823.54,2039231
8/20/2019,1814.5,1816.82,1799.88,1801.38,1932835
8/19/2019,1818.08,1826,1812.61,1816.12,2820303
8/16/2019,1792.89,1802.91,1784.55,1792.57,3054240
8/15/2019,1781.99,1788,1761.96,1776.12,3809948
8/14/2019,1793.01,1795.65,1757.21,1762.96,4893649
8/13/2019,1783,1831.74,1780,1824.34,4075021
8/12/2019,1795.99,1800.98,1777,1784.92,2905498
8/9/2019,1828.95,1831.09,1802.22,1807.58,2879770
8/8/2019,1806,1834.26,1798.11,1832.89,3701242
8/7/2019,1773.99,1798.93,1757,1793.4,4526884
8/6/2019,1792.23,1793.77,1753.4,1787.83,5070258
8/5/2019,1770.22,1788.67,1748.78,1765.13,6058212
8/2/2019,1845.07,1846.36,1808.02,1823.24,4956225
8/1/2019,1871.72,1897.92,1844.01,1855.32,4713311
7/31/2019,1898.11,1899.55,1849.44,1866.78,4470727
7/30/2019,1891.12,1909.89,1883.48,1898.53,2910888
7/29/2019,1930,1932.23,1890.54,1912.45,4493190
7/26/2019,1942,1950.89,1924.51,1943.05,4927143
7/25/2019,2001,2001.2,1972.72,1973.82,4136394
7/24/2019,1969.3,2001.3,1965.87,2000.81,2631300
7/23/2019,1995.99,1997.79,1973.13,1994.49,2703480
7/22/2019,1971.14,1989,1958.26,1985.63,2908111
7/19/2019,1991.21,1996,1962.23,1964.52,3185612
7/18/2019,1980.01,1987.5,1951.55,1977.9,3504252
7/17/2019,2007.05,2012,1992.03,1992.03,2558809
7/16/2019,2010.58,2026.32,2001.22,2009.9,2618198
7/15/2019,2021.4,2022.9,2001.55,2020.99,2981343
7/12/2019,2008.27,2017,2003.87,2011,2509297
